species_id,common_name,scientific_name,category,feeding_source,feeding_confidence,feeding_uses_template,feeding_needs_review,feeding_review_reason,feeding_source_url,feeding_source_fields,housing_mode,housing_reason,housing_reason_shared_count,housing_only_category_reference,missing_species_specific_care
sp_0131,刺鳅,Mastacembelus armatus,鱼类,aquapedia_master_v2.csv+rules+predatory_fish_template,0.82,yes,yes,特殊喂养关键词已抽取为提示，建议抽查,https://www.google.com/search?q=Mastacembelus+armatus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,性情偏凶或捕食倾向明显，和温和小型鱼混养容易造成追咬、压迫或吞食。,23,yes,yes
sp_0132,玻璃拉拉,Parambassis ranga,鱼类,aquapedia_master_v2.csv+rules+small_carnivore_fish_template,0.83,yes,yes,存在特殊喂养关键词,https://www.google.com/search?q=Parambassis+ranga+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,yes
sp_0133,红苹果美人,Glossolepis incisus,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Glossolepis+incisus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,yes
sp_0134,燕子美人,Iriatherina werneri,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Iriatherina+werneri+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,yes
sp_0135,霓虹燕子,Pseudomugil furcatus,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Pseudomugil+furcatus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,yes
sp_0136,巧克力曼龙,Sphaerichthys osphromenoides,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Sphaerichthys+osphromenoides+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,yes
sp_0137,飞凤鱼,Semaprochilodus insignis,鱼类,rule_fallback,0.74,yes,yes,未匹配到物种专属喂养资料，当前仅提供类别通用参考,,,谨慎混养,体型较大，可能压迫或误食小型鱼虾；适合与体型接近、游层错开的温和鱼混养。,21,yes,yes
sp_0138,黑带好汉,Leporinus fasciatus,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Leporinus+fasciatus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,性情偏凶或捕食倾向明显，和温和小型鱼混养容易造成追咬、压迫或吞食。,23,yes,yes
sp_0139,淡水白鲳,Piaractus brachypomus,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Piaractus+brachypomus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,有一定领地意识，混养时需要足够空间、躲避物，并避免与同体型同习性的鱼过密饲养。,57,yes,yes
sp_0140,黑斑水虎,Serrasalmus rhombeus,鱼类,aquapedia_master_v2.csv+rules+predatory_fish_template,0.82,yes,yes,存在特殊喂养关键词,https://www.google.com/search?q=Serrasalmus+rhombeus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,性情偏凶或捕食倾向明显，和温和小型鱼混养容易造成追咬、压迫或吞食。,23,yes,yes
sp_0141,甜心柠檬灯,Hyphessobrycon pulchripinnis var.,灯科鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Hyphessobrycon+pulchripinnis+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情通常温和，适合与体型接近、水温和 pH 区间重叠的温和鱼群混养；群游鱼建议成群饲养。,44,yes,no
sp_0142,球鱼 (玛丽变种),Poecilia sphenops var.,鱼类,aquapedia_master_v2.csv,0.92,no,no,,https://www.google.com/search?q=Poecilia+sphenops+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0143,红草尾孔雀鱼,Poecilia reticulata var.,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Poecilia+reticulata+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情通常温和，适合与体型接近、水温和 pH 区间重叠的温和鱼群混养；孔雀鱼繁殖快，需控制密度。,3,yes,no
sp_0144,蓝草尾孔雀鱼,Poecilia reticulata var.,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Poecilia+reticulata+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情通常温和，适合与体型接近、水温和 pH 区间重叠的温和鱼群混养；孔雀鱼繁殖快，需控制密度。,3,yes,no
sp_0145,大耳孔雀鱼,Poecilia reticulata var. Dumbo,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Poecilia+reticulata+var.+Dumbo+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情通常温和，适合与体型接近、水温和 pH 区间重叠的温和鱼群混养；群游鱼建议成群饲养。,44,yes,no
sp_0146,白金波子,Mikrogeophagus ramirezi var. Platinum,慈鲷/斗鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Mikrogeophagus+ramirezi+var.+Platinum+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,no
sp_0147,蓝宝鹦鹉鱼,Amatitlania nigrofasciata var. Blue,慈鲷/斗鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Amatitlania+nigrofasciata+var.+Blue+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,no
sp_0148,雪玉鹦鹉鱼,Amatitlania nigrofasciata var. White,慈鲷/斗鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Amatitlania+nigrofasciata+var.+White+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,no
sp_0149,熊猫金鱼,Carassius auratus var. Panda,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Carassius+auratus+var.+Panda+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0150,短尾狮头金鱼,Carassius auratus var. Oranda,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Carassius+auratus+var.+Oranda+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0151,彩色天使鱼（彩色裙鱼）,Gymnocorymbus ternetzi var. Color morph,灯科鱼,rule_fallback,0.74,yes,yes,未匹配到物种专属喂养资料，当前仅提供类别通用参考,,,谨慎混养,总体皮实活泼，适合与体型接近的温和鱼混养；但可能追逐或轻微咬鳍，避免与长鳍慢游鱼过密混养。,1,no,yes
sp_0152,荧光斑马鱼,Danio rerio var. GloFish,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Danio+rerio+var.+GloFish+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情通常温和，适合与体型接近、水温和 pH 区间重叠的温和鱼群混养；群游鱼建议成群饲养。,44,yes,yes
sp_0153,球形珍珠马甲,Trichopodus leerii var. Balloon,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Trichopodus+leerii+var.+Balloon+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,yes
sp_0154,红鼻灯 (改良),Hemigrammus bleheri var.,灯科鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Hemigrammus+bleheri+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情通常温和，适合与体型接近、水温和 pH 区间重叠的温和鱼群混养；群游鱼建议成群饲养。,44,yes,no
sp_0155,长鳍红绿灯,Paracheirodon innesi var.,灯科鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Paracheirodon+innesi+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情通常温和，适合与体型接近、水温和 pH 区间重叠的温和鱼群混养；群游鱼建议成群饲养。,44,yes,no
sp_0156,白金蓝曼龙,Trichopodus trichopterus var. Platinum,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Trichopodus+trichopterus+var.+Platinum+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,有一定领地意识，混养时需要足够空间、躲避物，并避免与同体型同习性的鱼过密饲养。,57,yes,yes
sp_0157,蓝宝石短鲷,Mikrogeophagus ramirezi var. Blue,硬景/底床,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Mikrogeophagus+ramirezi+var.+Blue+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,属于造景或植物类，不会主动攻击鱼虾；主要注意光照、底床和是否会被草食性鱼啃食。,49,yes,no
sp_0158,红苹果剑尾,Xiphophorus hellerii var.,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Xiphophorus+hellerii+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,有一定领地意识，混养时需要足够空间、躲避物，并避免与同体型同习性的鱼过密饲养。,57,yes,no
sp_0159,黄金胡子 (异型变种),Ancistrus sp. Gold,鲶鱼/异型,aquapedia_master_v2.csv+rules+local_note_extraction,0.84,no,no,,https://www.google.com/search?q=Ancistrus+sp.+Gold+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0160,大帆白金胡子,Ancistrus sp. Longfin Platinum,鲶鱼/异型,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Ancistrus+sp.+Longfin+Platinum+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0161,巧克力皮球,Poecilia sphenops var. Chocolate,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Poecilia+sphenops+var.+Chocolate+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0162,红草鱼,Carassius auratus var.,鱼类,aquapedia_master_v2.csv+aquapedia_supplement,0.91,no,no,,https://www.google.com/search?q=Carassius+auratus+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,金鱼类负载较高，适合与体型接近、耐冷水且游速相近的鱼混养；不建议与小型热带鱼虾同缸。,1,no,no
sp_0163,鸿运当头锦鲤,Cyprinus carpio var. Kohaku,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Cyprinus+carpio+var.+Kohaku+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,有一定领地意识，混养时需要足够空间、躲避物，并避免与同体型同习性的鱼过密饲养。,57,yes,no
sp_0164,黑金刚米虾,Neocaridina davidi var. Black,虾螺蟹,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Neocaridina+davidi+var.+Black+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,no
sp_0165,黄金背米虾,Neocaridina davidi var. Yellow Line,虾螺蟹,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Neocaridina+davidi+var.+Yellow+Line+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,no
sp_0166,极火米虾 (高等级),Neocaridina davidi var. Fire Red,虾螺蟹,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Neocaridina+davidi+var.+Fire+Red+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,no
sp_0167,球形红鼻剪刀,Hemigrammus bleheri var. Balloon,灯科鱼,aquapedia_master_v2.csv,0.92,no,no,,https://www.google.com/search?q=Hemigrammus+bleheri+var.+Balloon+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情通常温和，适合与体型接近、水温和 pH 区间重叠的温和鱼群混养；群游鱼建议成群饲养。,44,yes,no
sp_0168,金玛丽,Poecilia latipinna var. Gold,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Poecilia+latipinna+var.+Gold+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0169,银玛丽,Poecilia latipinna var. Silver,鱼类,aquapedia_master_v2.csv,0.92,no,no,,https://www.google.com/search?q=Poecilia+latipinna+var.+Silver+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0170,黑金刚孔雀鱼,Poecilia reticulata var. Full Black,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Poecilia+reticulata+var.+Full+Black+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情通常温和，适合与体型接近、水温和 pH 区间重叠的温和鱼群混养；群游鱼建议成群饲养。,44,yes,no
sp_0171,白玉金丝鱼,Tanichthys albonubes var. Albino,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Tanichthys+albonubes+var.+Albino+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,yes
sp_0172,长鳍白云金丝,Tanichthys albonubes var. Longfin,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Tanichthys+albonubes+var.+Longfin+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,yes
sp_0173,黄金河虎,Salminus brasiliensis var.,灯科鱼,aquapedia_master_v2.csv,0.92,no,no,,https://www.google.com/search?q=Salminus+brasiliensis+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,性情偏凶或捕食倾向明显，和温和小型鱼混养容易造成追咬、压迫或吞食。,23,yes,no
sp_0174,红眼白子红裙,Gymnocorymbus ternetzi var. Albino,灯科鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Gymnocorymbus+ternetzi+var.+Albino+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,有一定领地意识，混养时需要足够空间、躲避物，并避免与同体型同习性的鱼过密饲养。,57,yes,no
sp_0175,血钻神仙,Pterophyllum scalare var. Red,慈鲷/斗鱼,aquapedia_master_v2.csv,0.92,no,no,,https://www.google.com/search?q=Pterophyllum+scalare+var.+Red+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,no
sp_0176,黑白大理石神仙,Pterophyllum scalare var. Marble,硬景/底床,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Pterophyllum+scalare+var.+Marble+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,属于造景或植物类，不会主动攻击鱼虾；主要注意光照、底床和是否会被草食性鱼啃食。,49,yes,no
sp_0177,红眼蓝钻神仙,Pterophyllum scalare var. Blue,慈鲷/斗鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Pterophyllum+scalare+var.+Blue+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,no
sp_0178,熊猫神仙,Pterophyllum scalare var. Panda,慈鲷/斗鱼,aquapedia_master_v2.csv+rules+local_note_extraction,0.84,no,no,,https://www.google.com/search?q=Pterophyllum+scalare+var.+Panda+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,no
sp_0179,球形曼龙 (蓝/金),Trichopodus trichopterus var. Balloon,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Trichopodus+trichopterus+var.+Balloon+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,有一定领地意识，混养时需要足够空间、躲避物，并避免与同体型同习性的鱼过密饲养。,57,yes,yes
sp_0180,龙睛金鱼,Carassius auratus var. Telescopes,鱼类,aquapedia_master_v2.csv,0.92,no,no,,https://www.google.com/search?q=Carassius+auratus+var.+Telescopes+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0181,象鼻鱼,Gnathonemus petersii,鱼类,aquapedia_master_v2.csv+rules+elephantnose_feeding_template,0.82,yes,yes,存在特殊喂养关键词,https://www.google.com/search?q=Gnathonemus+petersii+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,有一定领地意识，混养时需要足够空间、躲避物，并避免与同体型同习性的鱼过密饲养。,57,yes,yes
sp_0182,蓝眼异型 (L191),Panaque sp. L191,鲶鱼/异型,aquapedia_master_v2.csv+rules+local_note_extraction,0.84,no,no,,https://www.google.com/search?q=Panaque+sp.+L191+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,有一定领地意识，混养时需要足够空间、躲避物，并避免与同体型同习性的鱼过密饲养。,57,yes,no
sp_0183,红纹拟鳞鲀 (红尾炮弹),Xanthichthys mento,海水鱼,aquapedia_master_v2.csv+rules+marine_feeding_template,0.81,yes,yes,存在特殊喂养关键词,https://www.google.com/search?q=Xanthichthys+mento+LiveAquaria+diet,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,yes
sp_0184,黄头仙,Centropyge heraldi,海水鱼,aquapedia_master_v2.csv+rules+marine_feeding_template,0.81,yes,yes,Dietary_Needs缺失，使用规则补齐,https://www.google.com/search?q=Centropyge+heraldi+LiveAquaria+diet,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,yes
sp_0185,蓝环神仙,Pomacanthus annularis,海水鱼,aquapedia_master_v2.csv+rules+marine_feeding_template,0.81,yes,yes,Dietary_Needs缺失，使用规则补齐,https://www.google.com/search?q=Pomacanthus+annularis+LiveAquaria+diet,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,yes
sp_0186,人字蝶,Chaetodon auriga,海水鱼,aquapedia_master_v2.csv+rules+marine_feeding_template,0.81,yes,yes,Dietary_Needs缺失，使用规则补齐,https://www.google.com/search?q=Chaetodon+auriga+LiveAquaria+diet,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,yes
sp_0187,蓝魔鬼,Chrysiptera cyanea,海水鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Chrysiptera+cyanea+LiveAquaria+diet,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,no
sp_0188,清洁虾 (医生虾),Lysmata amboinensis,海水鱼,aquapedia_master_v2.csv,0.92,no,no,,https://www.google.com/search?q=Lysmata+amboinensis+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,no
sp_0189,性感虾,Thor amboinensis,海水鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Thor+amboinensis+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,no
sp_0190,薄荷虾,Lysmata boggesi,海水鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Lysmata+boggesi+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,no
sp_0191,寄居蟹 (红脚),Paguristes cadenati,海水鱼,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Paguristes+cadenati+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,yes
sp_0192,海葵 (奶嘴),Entacmaea quadricolor,珊瑚/海水无脊椎,aquapedia_master_v2.csv+rules+coral_feeding_template,0.80,yes,yes,特殊类群需复核；存在特殊喂养关键词,https://www.google.com/search?q=Entacmaea+quadricolor+coral+care+feeding,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,yes
sp_0193,地毯海葵,Stichodactyla haddoni,珊瑚/海水无脊椎,aquapedia_master_v2.csv+rules+coral_feeding_template,0.80,yes,yes,特殊类群需复核；存在特殊喂养关键词,https://www.google.com/search?q=Stichodactyla+haddoni+coral+care+feeding,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,yes
sp_0194,管虫 (硬管),Protula bispiralis,海水鱼,aquapedia_master_v2.csv+rules+coral_feeding_template,0.80,yes,yes,Dietary_Needs缺失，使用规则补齐；特殊类群需复核；存在特殊喂养关键词,https://www.google.com/search?q=Protula+bispiralis+coral+care+feeding,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,yes
sp_0195,海星 (翻砂),Astropecten polyacanthus,海水鱼,aquapedia_master_v2.csv+rules+marine_feeding_template,0.81,yes,yes,Dietary_Needs缺失，使用规则补齐,https://www.google.com/search?q=Astropecten+polyacanthus+LiveAquaria+diet,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,yes
